GENEID	X104	X112	X118	X122	X128	X137	X168	X175	X189	X191
Atrx	2.00048844025395	3.00109916954915	7.00598826885697	0	0	0	4.00195439749781	0	3.00109916954915	1.00012209018435
B2m	37.1681275103067	10.0122269359159	20.048987655079	24.0705883708827	39.186855988824	13.0206736374495	25.0766058142306	1.00012209018435	6.00439882750478	2.00048844025395
B4galnt1	0	0	1.00012209018435	8.00782268745052	0	0	0	0	0	0
BC051077	3.00109916954915	1.00012209018435	3.00109916954915	3.00109916954915	2.00048844025395	3.00109916954915	5.00305424361532	0	3.00109916954915	0
Bclaf1	2.00048844025395	1.00012209018435	2.00048844025395	6.00439882750478	0	0	0	0	0	1.00012209018435
Bgn	28.0961415204583	20.048987655079	29.1031482864402	1.00012209018435	13.0206736374495	3.00109916954915	9.00990220315199	0	12.0176125328898	5.00305424361532
Bicc1	1.00012209018435	4.00195439749781	5.00305424361532	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435
Birc2	7.00598826885697	0	0	1.00012209018435	2.00048844025395	8.00782268745052	3.00109916954915	0	0	1.00012209018435
Birc3	1.00012209018435	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	5.00305424361532	0
Bod1l	2.00048844025395	0	0	1.00012209018435	3.00109916954915	0	6.00439882750478	0	4.00195439749781	1.00012209018435
Brd3	1.00012209018435	5.00305424361532	2.00048844025395	0	0	6.00439882750478	1.00012209018435	0	1.00012209018435	0
Bsg	0	1.00012209018435	12.0176125328898	1.00012209018435	2.00048844025395	5.00305424361532	3.00109916954915	0	1.00012209018435	0
Btg1	5.00305424361532	0	4.00195439749781	3.00109916954915	7.00598826885697	0	0	1.00012209018435	2.00048844025395	1.00012209018435
Btg2	5.00305424361532	3.00109916954915	3.00109916954915	0	16.0313316193744	6.00439882750478	22.0592944438992	0	1.00012209018435	3.00109916954915
C1qtnf6	2.00048844025395	5.00305424361532	10.0122269359159	0	0	1.00012209018435	7.00598826885697	0	1.00012209018435	0
C1ra	10.0122269359159	5.00305424361532	7.00598826885697	0	7.00598826885697	4.00195439749781	17.0353762377124	0	1.00012209018435	1.00012209018435
C1s1	17.0353762377124	9.00990220315199	22.0592944438992	0	8.00782268745052	9.00990220315199	21.0540177177831	0	4.00195439749781	2.00048844025395
C3	131.075056455736	1.00012209018435	52.332898627509	1.00012209018435	52.332898627509	47.2717340146999	113.559748668846	1.00012209018435	4.00195439749781	9.00990220315199
C4a	72.6403274332921	0	2.00048844025395	0	2.00048844025395	16.0313316193744	35.1503934793561	0	0	3.00109916954915
Cald1	2.00048844025395	7.00598826885697	10.0122269359159	0	6.00439882750478	4.00195439749781	3.00109916954915	0	2.00048844025395	1.00012209018435
Calm1	0	0	5.00305424361532	3.00109916954915	3.00109916954915	1.00012209018435	4.00195439749781	2.00048844025395	4.00195439749781	1.00012209018435
Calm2	0	8.00782268745052	2.00048844025395	1.00012209018435	2.00048844025395	0	2.00048844025395	0	1.00012209018435	3.00109916954915
Calr	6.00439882750478	2.00048844025395	4.00195439749781	0	0	9.00990220315199	6.00439882750478	0	3.00109916954915	1.00012209018435
Capns1	8.00782268745052	1.00012209018435	16.0313316193744	1.00012209018435	1.00012209018435	2.00048844025395	6.00439882750478	0	1.00012209018435	0
Casc4	9.00990220315199	0	1.00012209018435	4.00195439749781	2.00048844025395	4.00195439749781	2.00048844025395	0	1.00012209018435	0
Cbx6	2.00048844025395	0	7.00598826885697	0	9.00990220315199	5.00305424361532	4.00195439749781	0	3.00109916954915	0
Ccdc80	14.0239804397716	8.00782268745052	7.00598826885697	0	2.00048844025395	1.00012209018435	1.00012209018435	0	2.00048844025395	3.00109916954915
