GENEID	X23	X41	X47	X70	X79	X84	X92	X94
Cald1	1.00012209018435	0	1.00012209018435	2.00048844025395	0	3.00109916954915	8.00782268745052	0
Calm1	0	11.0147970057849	0	0	3.00109916954915	3.00109916954915	2.00048844025395	13.0206736374495
Calr	1.00012209018435	1.00012209018435	0	0	0	4.00195439749781	6.00439882750478	4.00195439749781
Calu	2.00048844025395	2.00048844025395	0	0	0	4.00195439749781	6.00439882750478	0
Canx	1.00012209018435	6.00439882750478	0	2.00048844025395	0	0	6.00439882750478	1.00012209018435
Capns1	0	5.00305424361532	0	1.00012209018435	0	1.00012209018435	5.00305424361532	5.00305424361532
Casp4	0	0	3.00109916954915	1.00012209018435	0	7.00598826885697	12.0176125328898	3.00109916954915
Cav1	0	6.00439882750478	0	0	0	0	0	6.00439882750478
Ccdc80	1.00012209018435	0	0	1.00012209018435	0	6.00439882750478	5.00305424361532	0
Ccl11	1.00012209018435	0	0	0	0	4.00195439749781	8.00782268745052	0
Ccl19	0	0	0	0	0	0	6.00439882750478	0
Ccl2	0	0	0	0	0	16.0313316193744	50.3076822698104	2.00048844025395
Ccl7	0	0	1.00012209018435	0	0	38.1773673823587	0	0
Ccnd3	0	5.00305424361532	0	0	0	0	0	0
Cct2	1.00012209018435	3.00109916954915	0	0	0	3.00109916954915	5.00305424361532	1.00012209018435
Cct3	0	0	0	0	1.00012209018435	1.00012209018435	7.00598826885697	1.00012209018435
Cd151	0	6.00439882750478	0	0	0	1.00012209018435	0	3.00109916954915
Cd300lg	0	9.00990220315199	0	0	0	0	0	4.00195439749781
Cd34	0	15.0275330602518	0	0	0	0	1.00012209018435	10.0122269359159
Cd44	0	0	0	0	0	4.00195439749781	7.00598826885697	0
Cd63	0	0	0	3.00109916954915	0	4.00195439749781	8.00782268745052	1.00012209018435
Cd74	0	0	0	0	25.0766058142306	0	0	0
Cd79a	0	0	0	0	10.0122269359159	0	0	0
Cd81	3.00109916954915	12.0176125328898	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	7.00598826885697	9.00990220315199
Cd93	0	20.048987655079	0	0	0	0	0	15.0275330602518
